category,name,slug,sku,price,quantity,imageUrl
Equipment,FlexRoll Recovery Roller,flexroll-recovery-roller,EQ-ROL-001,31.99,21,/images/products/recovery-roller.webp
Equipment,TeamPro First Aid Kit,teampro-first-aid-kit,EQ-AID-001,46.99,0,/images/products/first-aid-kit.webp
Football,Striker Pro Match Ball,striker-pro-match-ball,FTB-BAL-001,59.99,16,/images/products/striker-match-ball.webp
Football,ControlX Training Ball,controlx-training-ball,FTB-BAL-002,34.99,27,/images/products/controlx-ball.webp
Football,GripGuard Goalkeeper Gloves,gripguard-goalkeeper-gloves,FTB-GLV-001,49.99,9,/images/products/goalkeeper-gloves.webp
Football,SpeedLock Shin Guards,speedlock-shin-guards,FTB-SHG-001,22.99,23,/images/products/shin-guards.webp
Football,Precision Portable Goal,precision-portable-goal,FTB-GOL-001,129.99,3,/images/products/portable-goal.webp
Football,Team Captain Armband,team-captain-armband,FTB-ARM-001,12.99,40,/images/products/captain-armband.webp
Football,Tactical Coaching Board,tactical-coaching-board,FTB-COA-001,28.99,11,/images/products/coaching-board.webp
Badminton,AeroStrike Carbon Racket,aerostrike-carbon-racket,BAD-RAC-001,119.99,10,/images/products/aerostrike-racket.webp
Badminton,PowerSmash Pro Racket,powersmash-pro-racket,BAD-RAC-002,149.99,6,/images/products/powersmash-racket.webp
Badminton,ControlLite Beginner Racket,controllite-beginner-racket,BAD-RAC-003,49.99,18,/images/products/controllite-racket.webp
Badminton,Tournament Feather Shuttlecock,tournament-feather-shuttlecock,BAD-SHU-001,29.99,26,/images/products/feather-shuttlecock.webp
Badminton,Durable Nylon Shuttlecock,durable-nylon-shuttlecock,BAD-SHU-002,16.99,32,/images/products/nylon-shuttlecock.webp
Badminton,CourtGrip Badminton Shoes,courtgrip-badminton-shoes,BAD-SHO-001,84.99,0,/images/products/badminton-shoes.webp
Badminton,ProCourt Racket Bag,procourt-racket-bag,BAD-BAG-001,44.99,13,/images/products/racket-bag.webp
Racket Sports,Precision Tour Tennis Racket,precision-tour-tennis-racket,RKT-TEN-001,159.99,7,/images/products/tennis-racket.webp
Racket Sports,ControlSpin Tennis Racket,controlspin-tennis-racket,RKT-TEN-002,109.99,9,/images/products/controlspin-racket.webp
Racket Sports,Championship Tennis Ball Pack,championship-tennis-ball-pack,RKT-BAL-001,14.99,38,/images/products/tennis-ball-pack.webp
Racket Sports,PowerEdge Pickleball Paddle,poweredge-pickleball-paddle,RKT-PIC-001,79.99,14,/images/products/pickleball-paddle.webp
Racket Sports,ControlTouch Pickleball Set,controltouch-pickleball-set,RKT-PIC-002,99.99,5,/images/products/pickleball-set.webp
Racket Sports,Universal Court Net,universal-court-net,RKT-NET-001,89.99,0,/images/products/court-net.webp
